Dataset,nJobStart,minLoad,maxLoad,medianLoad,meanLoad,usageIncluded,usageExcluded,usageFraction,residualWork,minWait,medianWait,maxWait,meanWait,minTurnaroundTime,medianTurnaroundTime,maxTurnaroundTime,meanTurnaroundTime,emissionsActive,emissionsIdle,emissionsTotal
Measured,45814,0,12924,8254,8378,5711012.314,2337663.841,0.632,488652.939,0,1,1263925,3838.323,1,94,1683839,23013.622,4120,2399,6519
Cirrus (Rigid: R),40375,756,13248,8928,8761,5597553.146,2451071.526,0.661,2379402.758,0,0,23.442,1.632,0,0.103,246.874,7.81,4324,2217,6541
Cirrus (Moldable: M),40375,756,13248,9550,8874,5670106.381,2378396.381,0.67,2281367.154,0,0.005,29.144,4.001,0,0.538,216.302,7.387,4387,2161,6548
Cirrus (M) + 10% ARCHER2 (R),41528,770,13248,10631,9610,6140301.177,2709572.407,0.725,2507756.112,0,0.634,30.528,4.592,0,1.533,204.271,7.974,4777,1812,6589
Cirrus (M) + 20% ARCHER2 (R),42667,1776,13248,12599,10362,6620546.305,3027951.533,0.782,2723451.826,0,2.356,33.384,5.769,0,3.659,192.732,9.201,5187,1446,6632
Cirrus (M) + 30% ARCHER2 (R),43928,1988,13248,13159,11065,7069823.873,3379297.499,0.835,2987933.669,0,6.812,36.484,7.901,0,8.776,199.761,11.34,5571,1101,6672
Cirrus (M) + 40% ARCHER2 (R),45061,3060,13248,13197,11821,7552511.74,3696059.579,0.892,3206766.586,0,9.005,37.031,9.656,0,10.946,205.054,13.154,5916,792,6708
Cirrus (M) + 50% ARCHER2 (R),45696,3274,13248,13215,12485,7976745.601,4072265.751,0.942,3478726.292,0,14.757,50.184,16.907,0,18.113,223.11,20.478,6362,392,6753
Cirrus (M) + 60% ARCHER2 (R),45577,3994,13248,13233,12949,8273160.199,4581519.756,0.977,3890871.706,0,31.931,70.835,33.42,0.084,36.158,239.147,37.003,6624,156,6780
Cirrus (M) + 70% ARCHER2 (R),42940,5866,13248,13217,13012,8313757.531,5337362.356,0.982,4544605.714,0,55.464,90.379,51.984,0.084,58.206,245.764,55.501,6661,122,6783
Cirrus (M) + 80% ARCHER2 (R),39513,6514,13248,13217,13055,8341000.588,6109034.347,0.985,5197410.468,0,72.091,109.901,68.389,0.084,74.974,561.275,72.221,6684,102,6786
Cirrus (M) + 90% ARCHER2 (R),39415,7090,13248,13215,13121,8382888.676,6866122.852,0.99,5869023.404,0,90.276,127.592,84.585,0.087,90.93,350.181,88.407,6722,68,6789
Cirrus (M) + 100% ARCHER2 (R),39826,9249,13248,13213,13178,8419608.461,7628981.648,0.995,6565531.612,0,105.062,149.523,101.315,0.089,105.812,320.661,105.031,6759,34,6793